"Country"	"GDP.growth"	"GDP.at.market.prices"	"GDP.per.capita"	"GNI.per.capita.Atlas.method"	"Exports.of.goods.and.services"	"Foreign.direct.investment.net"	"GNI.per.capita.PPP"	"GINI.index"	"Inflation.consumer.prices"	"Inflation.GDP.deflator"	"Internet.users"	"Imports.of.goods.and.services"	"Life.expectancy.at.birth.total"	"Adult.literacy.rate.population.15..years.both.sexes"	"Unemployment.total"	"Poverty.headcount.ratio.at.national.poverty.lines"	"Agriculture.value.added"	"CO2.emissions"	"Central.government.debt.total"	"Population.total"
"Ethiopia"	10.58	47648211133.22	503.9	470	12.48	-	1370	-	8.08	4.9	1.9	28.99	63.44	-	5	-	44.9	-	-	94558374
"Faroe Islands"	-	2613458940.7	54117.84	-	50.64	-	-	-	-	-	90	57.12	81.44	-	-	-	-	-	-	48292
"Fiji"	5.35	4196100792.87	4765.66	4660	56.59	-153555408.53	8000	-	2.91	3.01	37.1	69.39	69.92	-	8.3	-	12.12	-	-	880487
"Finland"	-1.12	269190106004.86	49492.83	49050	38.96	-2283103180.3	40980	-	1.48	2.63	91.51	39.77	80.98	-	8.2	-	2.99	-	53.69	5438972
"France"	0.66	2810249215589.07	42627.65	43530	28.5	-17983646227.77	39820	-	0.86	0.76	81.92	30.36	82.22	-	10.4	-	1.6	-	88.52	65925498
"French Polynesia"	-	-	-	-	-	-34143653.86	-	-	-	-	56.8	-	76.33	-	-	-	-	-	-	276766
"Gabon"	5.64	17590716232.49	10658.77	9910	57.36	-	16350	-	0.48	-6.16	9.2	33.28	63.84	-	20.3	-	3.63	-	-	1650351
"Gambia, The"	4.78	903779326.21	484.11	500	29.2	-	1600	-	5.7	5.95	14	40.87	60	53.19	7	-	23.64	-	-	1866878
"Georgia"	3.32	16140047012.14	4274.38	4230	44.69	-829031348.66	8350	40.03	-0.51	-0.7	43.3	57.64	74.51	99.75	14.6	-	9.41	-	-	3776000
"Germany"	0.3	3745317149399.13	45600.77	46390	45.49	11088918609.69	45140	-	1.5	2.09	84.17	39.48	80.84	-	5.3	-	0.79	-	52.33	82132753
"Ghana"	7.31	47805069494.91	1827.1	1740	34.19	-3226330000	3850	-	11.61	15.58	12.3	47.46	61.14	-	1.8	-	23.15	-	-	26164432
"Greece"	-3.2	239509850570.45	21842.7	22810	30.59	-3643182504.17	27050	-	-0.92	-2.54	59.87	33.39	81.29	97.47	27.2	-	3.73	-	181.93	10965211
"Greenland"	-	2419043094.32	42827.81	-	-	-	-	-	-	-	65.8	-	-	-	-	-	-	-	-	56483
"Grenada"	2.35	842571332.22	7956.14	7450	25.43	-74688413.33	11130	-	-0.04	2.92	35	50.36	73.19	-	-	-	5.56	-	-	105902
"Guam"	-	-	-	-	-	-	-	-	-	-	65.4	-	78.87	-	-	-	-	-	-	165121
"Guatemala"	3.7	53851148431.93	3432.02	3290	23.72	-1261622913.37	7030	-	4.34	3.37	19.7	34.83	71.49	77.04	3	-	11.3	-	-	15690793
"Guinea"	2.3	6231725484.56	521.54	450	28.46	-135440000	1140	-	11.89	6.29	1.6	54.61	58.22	-	1.7	-	20.24	-	-	11948726
"Guinea-Bissau"	0.33	946629755.79	538.73	570	17.47	-19637861.84	1360	-	1.21	-4.78	3.1	24.25	54.84	57.8	6.8	-	43.68	-	-	1757138
"Guyana"	5.22	2982036493.73	3918.41	3940	51.74	-200558390	6940	-	1.83	-0.1	35	78.81	66.31	-	11.1	-	18.9	-	-	761033
